GroupeGroupama,"RT @instit_invest: Eric Donnet, directeur général de @GroupamaImmo : ""Le territoire français constitue un terrain de jeu encore assez large…",2019-10-02 07:46:44,0
Balio_Services,"RT @allianzfrance: Allianz France est très heureux d’annoncer le lancement de la #startup @Balio_Services 🚀

Quelle est sa raison d'être ?…",2019-10-02 07:54:46,0
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
GallantNicolas1,Les #Gafa ont cessé de tirer les #marchés #actions à la hausse. Gare à la chute. Décryptage de Catherine Garrigues (#Allianz GI). @AllianzGI_FR @ABaradez @NCheron_bourse @AfateNews @MarcTouati @VincentBoy_IG @Tuavai_MB @RollinFrederic  https://t.co/1KdrZgIkWA,2019-10-02 08:21:44,0
AkuoCoop,"Eiffel Investment Group, gérant du fonds Allianz Crowdlending, participe au financement de la centrale O’MEGA1 développée par le groupe @Akuo_Energy !⚡ 

Eric Scotto, CEO d'Akuo : ""Nous
remercions @Eiffel_IG qui nous accompagne depuis la création de notre plateforme AkuoCoop""",2019-10-02 08:22:02,0
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
LenoPresident,Il a envoyé !!,2019-10-02 08:59:47,0
2Ott4U,"RT @FrSerieA: Marchisio (33 ans) annoncera demain qu'il met un terme à sa carrière.

(Gazzetta Dello Sport) https://t.co/TpgLPzeYbo",2019-10-02 09:00:03,0
hamon_nathalie,Les Journées stratégiques @MAIF en région : être entre pairs &amp; en proximité avec celles et ceux qui pilotent la Mut… https://t.co/0pXQ6Gc05c,2019-10-02 09:00:03,0
Juve_France,"Claudio Marchisio va annoncer sa retraite. Il a décidé de dire au revoir au football et fera l’annonce à sa maison,… https://t.co/ylHVKTCSMy",2019-10-02 09:00:13,0
michel_chan_,RT @ErDelannoy: C'est bien conscient de la nécessité de faire évoluer le capitalisme que des entreprises pionnières cherchent à mettre l'im…,2019-10-02 09:00:15,0
Labo_Coactis,@SchmidtIae @BerangereCrea @EcogestionLyon2 @MAIF @sebastiendamart @beta_economics Merci pour votre message et votr… https://t.co/SHCpk8wsaB,2019-10-02 09:00:19,0
Banjintino,"RT @Juve_France: Claudio Marchisio va annoncer sa retraite. Il a décidé de dire au revoir au football et fera l’annonce à sa maison, l’Alli…",2019-10-02 09:00:44,0
mort_aurat,La société générale c'est de la grosse merde,2019-10-02 09:00:56,0
User Name,Text,Date,RT Count
chaigneaunathal,RT @capsule19: Heureuse d'avoir marqué 11 points hier lors du #MAIFOpenLFB ! C'est autant de formations au PSC1 offertes par la @MAIF et di…,2019-10-06 17:36:05,0
LaGhostquitweet,RT @theoriedubinome: [URGENT] @renault_fr @Peugeot et @Citroen dépensent chaque mois près d'1 million d'euros de pub sur @CNEWS. Ils financ…,2019-10-06 17:36:30,0
